Started Test 11 on: Mon Nov 24 2014 16:28:47 GMT-0500 (EST)
Mouse Coordinates 313 23; timestamp: 0.409
Mouse Coordinates 262 47; timestamp: 0.425
Mouse Coordinates 220 65; timestamp: 0.44
Mouse Coordinates 193 78; timestamp: 0.458
Mouse Coordinates 171 87; timestamp: 0.472
Mouse Coordinates 164 89; timestamp: 0.487
Mouse Coordinates 160 90; timestamp: 0.506
Mouse Coordinates 158 90; timestamp: 0.522
Mouse Coordinates 163 89; timestamp: 0.554
Mouse Coordinates 201 89; timestamp: 0.57
Mouse Coordinates 268 113; timestamp: 0.587
Mouse Coordinates 325 138; timestamp: 0.604
Mouse Coordinates 390 170; timestamp: 0.621
Mouse Coordinates 444 197; timestamp: 0.639
Mouse Coordinates 489 216; timestamp: 0.658
Mouse Coordinates 515 226; timestamp: 0.674
Mouse Coordinates 535 232; timestamp: 0.689
Mouse Coordinates 550 236; timestamp: 0.706
Mouse Coordinates 560 240; timestamp: 0.723
Entered element timeNparen; timestamp: 0.741
Mouse Coordinates 573 244; timestamp: 0.744
Mouse Coordinates 587 248; timestamp: 0.757
Mouse Coordinates 597 252; timestamp: 0.774
Mouse Coordinates 606 254; timestamp: 0.789
Mouse Coordinates 614 257; timestamp: 0.807
Mouse Coordinates 621 259; timestamp: 0.823
Mouse Coordinates 630 261; timestamp: 0.84
Mouse Coordinates 644 263; timestamp: 0.863
Mouse Coordinates 656 265; timestamp: 0.875
Mouse Coordinates 665 268; timestamp: 0.896
Mouse Coordinates 673 269; timestamp: 0.909
Left element timeNparen; timestamp: 0.927
Mouse Coordinates 676 270; timestamp: 0.928
Mouse Coordinates 677 270; timestamp: 0.943
Mouse Coordinates 677 269; timestamp: 0.981
Mouse Coordinates 677 269; timestamp: 1.339
Entered element paren; timestamp: 1.358
Mouse Coordinates 684 269; timestamp: 1.36
Mouse Coordinates 689 269; timestamp: 1.374
Mouse Coordinates 694 269; timestamp: 1.39
Mouse Coordinates 699 269; timestamp: 1.407
Mouse Coordinates 702 269; timestamp: 1.425
