Started Test 01 on: Fri Dec 12 2014 13:59:57 GMT-0500 (EST)
Contacts: Nikhil Prasad;Connor Hamlet;Navaneet Galagali;Vlad Siedlecki;
Left element paren; timestamp: 1.939
Mouse Coordinates 781 241; timestamp: 2.082
Mouse Coordinates 747 245; timestamp: 2.099
Mouse Coordinates 687 257; timestamp: 2.115
Mouse Coordinates 533 278; timestamp: 2.131
Mouse Coordinates 415 290; timestamp: 2.148
Mouse Coordinates 324 298; timestamp: 2.164
Mouse Coordinates 267 299; timestamp: 2.182
Mouse Coordinates 221 299; timestamp: 2.226
Mouse Coordinates 221 299; timestamp: 2.226
Mouse Coordinates 220 298; timestamp: 2.559
Mouse Coordinates 212 288; timestamp: 2.576
Mouse Coordinates 195 265; timestamp: 2.593
Mouse Coordinates 188 252; timestamp: 2.61
Mouse Coordinates 175 238; timestamp: 2.652
Mouse Coordinates 174 236; timestamp: 2.661
Mouse Coordinates 173 236; timestamp: 2.937
Mouse Coordinates 173 237; timestamp: 2.946
Mouse Coordinates 172 239; timestamp: 2.963
Mouse Coordinates 168 242; timestamp: 2.98
Mouse Coordinates 163 245; timestamp: 2.998
Mouse Coordinates 156 249; timestamp: 3.014
Mouse Coordinates 149 256; timestamp: 3.031
Mouse Coordinates 134 266; timestamp: 3.079
Mouse Coordinates 130 268; timestamp: 3.081
Mouse Coordinates 124 271; timestamp: 3.098
Entered element nav_trash; timestamp: 3.117
Mouse Coordinates 119 274; timestamp: 3.118
Mouse Coordinates 115 276; timestamp: 3.133
Mouse Coordinates 113 277; timestamp: 3.15
Mouse Coordinates 109 279; timestamp: 3.167
Mouse Coordinates 105 283; timestamp: 3.222
Left element nav_trash; timestamp: 3.236
Entered element nav_instructions; timestamp: 3.237
Mouse Coordinates 104 284; timestamp: 3.237
Mouse Coordinates 103 286; timestamp: 3.256
Mouse Coordinates 102 287; timestamp: 3.269
Mouse Coordinates 101 287; timestamp: 3.286
Mouse Coordinates 98 288; timestamp: 3.303
Mouse Coordinates 97 287; timestamp: 3.727
Left element nav_instructions; timestamp: 3.778
Entered element nav_trash; timestamp: 3.779
Mouse Coordinates 95 274; timestamp: 3.779
Mouse Coordinates 95 274; timestamp: 3.783
Mouse Coordinates 94 269; timestamp: 3.795
Mouse Coordinates 94 267; timestamp: 3.812
Mouse Coordinates 94 265; timestamp: 3.83
Mouse Coordinates 93 264; timestamp: 3.847
Mouse Coordinates 93 260; timestamp: 3.864
